,breed,type.x,contact_state
0,American Staffordshire Terrier,Dog,NV
1,Pit Bull Terrier,Dog,NV
2,Shepherd,Dog,NV
3,German Shepherd Dog,Dog,NV
4,Dachshund,Dog,NV
5,Boxer,Dog,NV
6,Italian Greyhound,Dog,NV
7,Cattle Dog,Dog,NV
8,Cattle Dog,Dog,NV
9,Cattle Dog,Dog,NV
10,Cattle Dog,Dog,NV
11,Italian Greyhound,Dog,NV
12,Cattle Dog,Dog,NV
13,Border Collie,Dog,NV
14,Pit Bull Terrier,Dog,NV
15,German Shepherd Dog,Dog,NV
16,Schnauzer,Dog,NV
17,Pit Bull Terrier,Dog,NV
18,Boxer,Dog,NV
19,Pit Bull Terrier,Dog,NV
20,Pit Bull Terrier,Dog,NV
21,Pit Bull Terrier,Dog,NV
22,Dachshund,Dog,NV
23,Shepherd,Dog,NV
24,Chihuahua,Dog,NV
25,Cocker Spaniel,Dog,NV
26,Chihuahua,Dog,NV
27,Chihuahua,Dog,NV
28,Chihuahua,Dog,NV
29,Cocker Spaniel,Dog,NV
30,German Shepherd Dog,Dog,NV
31,Pit Bull Terrier,Dog,NV
32,Boxer,Dog,NV
33,Chihuahua,Dog,NV
34,Chihuahua,Dog,NV
35,Dachshund,Dog,NV
36,Chihuahua,Dog,NV
37,Pug,Dog,NV
38,Terrier,Dog,NV
39,Labrador Retriever,Dog,NV
40,German Shepherd Dog,Dog,NV
41,Pit Bull Terrier,Dog,NV
42,Dachshund,Dog,NV
43,Pit Bull Terrier,Dog,NV
44,Pit Bull Terrier,Dog,NV
45,Pit Bull Terrier,Dog,NV
46,Pit Bull Terrier,Dog,NV
47,Pit Bull Terrier,Dog,NV
48,Australian Cattle Dog / Blue Heeler,Dog,NV
49,Poodle,Dog,NV
50,Terrier,Dog,AZ
51,American Bulldog,Dog,AZ
52,Mastiff,Dog,NV
53,Chihuahua,Dog,NV
54,Labrador Retriever,Dog,NV
55,Terrier,Dog,NV
56,Chihuahua,Dog,NV
57,Chihuahua,Dog,NV
58,Chihuahua,Dog,NV
59,Chihuahua,Dog,NV
60,Chihuahua,Dog,NV
61,Husky,Dog,NV
62,Pit Bull Terrier,Dog,NV
63,Poodle,Dog,NV
64,Terrier,Dog,NV
65,Chihuahua,Dog,NV
66,Chihuahua,Dog,NV
67,Chihuahua,Dog,NV
68,Cocker Spaniel,Dog,NV
69,Staffordshire Bull Terrier,Dog,NV
70,Poodle,Dog,NV
71,Chihuahua,Dog,NV
72,Jindo,Dog,NV
73,Corgi,Dog,NV
74,Chihuahua,Dog,NV
75,American Bulldog,Dog,NV
76,German Shepherd Dog,Dog,NV
77,Pit Bull Terrier,Dog,NV
78,Shar-Pei,Dog,AZ
79,Pit Bull Terrier,Dog,AZ
80,Shar-Pei,Dog,AZ
81,Shepherd,Dog,AZ
82,Shepherd,Dog,AZ
83,Hound,Dog,AZ
84,Jack Russell Terrier,Dog,AZ
85,Retriever,Dog,AZ
86,Hound,Dog,AZ
87,Pit Bull Terrier,Dog,NV
88,Pit Bull Terrier,Dog,NV
89,Chihuahua,Dog,NV
90,Chihuahua,Dog,NV
91,Siberian Husky,Dog,NV
92,Pit Bull Terrier,Dog,NV
93,Pit Bull Terrier,Dog,NV
94,American Bulldog,Dog,NV
95,Terrier,Dog,NV
96,Pit Bull Terrier,Dog,NV
97,Pit Bull Terrier,Dog,NV
98,Chihuahua,Dog,NV
99,Pit Bull Terrier,Dog,NV
100,Maltese,Dog,NV
101,German Shepherd Dog,Dog,NV
102,Siberian Husky,Dog,NV
103,Maltese,Dog,NV
104,Maltese,Dog,NV
105,Maltese,Dog,NV
106,Chihuahua,Dog,NV
107,Terrier,Dog,NV
108,Pit Bull Terrier,Dog,NV
109,Chihuahua,Dog,NV
110,Black Labrador Retriever,Dog,AZ
111,Akita,Dog,NV
112,Pit Bull Terrier,Dog,NV
113,Pit Bull Terrier,Dog,NV
114,Pit Bull Terrier,Dog,NV
115,Chihuahua,Dog,NV
116,Terrier,Dog,NV
117,Schnauzer,Dog,NV
118,Pit Bull Terrier,Dog,NV
119,Chihuahua,Dog,NV
120,Chow Chow,Dog,NV
121,Chihuahua,Dog,NV
122,Chihuahua,Dog,NV
123,Akita,Dog,NV
124,Schnauzer,Dog,NV
125,Pit Bull Terrier,Dog,NV
126,Pit Bull Terrier,Dog,NV
127,Redbone Coonhound,Dog,NV
128,Chihuahua,Dog,NV
129,Chihuahua,Dog,NV
130,Chihuahua,Dog,NV
131,Chihuahua,Dog,NV
132,Pit Bull Terrier,Dog,NV
133,Chihuahua,Dog,NV
134,Chihuahua,Dog,NV
135,Chihuahua,Dog,NV
136,Pit Bull Terrier,Dog,NV
137,Chihuahua,Dog,NV
138,Giant Schnauzer,Dog,NV
139,Terrier,Dog,NV
140,Labrador Retriever,Dog,NV
141,Terrier,Dog,NV
142,Mastiff,Dog,NV
143,Pit Bull Terrier,Dog,NV
144,Labrador Retriever,Dog,AZ
145,Redbone Coonhound,Dog,NV
146,Miniature Pinscher,Dog,NV
147,Boxer,Dog,AZ
148,Bichon Frise,Dog,NV
149,Pit Bull Terrier,Dog,NV
150,Dachshund,Dog,NV
151,Chihuahua,Dog,NV
152,Miniature Pinscher,Dog,NV
153,Shepherd,Dog,NV
154,Wirehaired Terrier,Dog,NV
155,Cattle Dog,Dog,AZ
156,Cattle Dog,Dog,AZ
157,Mastiff,Dog,AZ
158,Corgi,Dog,NV
159,Chihuahua,Dog,NV
160,Chihuahua,Dog,NV
161,Belgian Shepherd / Malinois,Dog,NV
162,Pit Bull Terrier,Dog,NV
163,Dachshund,Dog,NV
164,Chihuahua,Dog,NV
165,Dachshund,Dog,NV
166,Jack Russell Terrier,Dog,NV
167,Jack Russell Terrier,Dog,NV
