,breed,type.x,contact_state,State_Full,state,# of non-kill shelters,# of shelters, % big dog friendly rentals, %small dog friendly rentals,% dog owners
0,American Staffordshire Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
1,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
2,Shepherd,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
3,German Shepherd Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
4,Dachshund,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
5,Boxer,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
6,Italian Greyhound,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
7,Cattle Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
8,Cattle Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
9,Cattle Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
10,Cattle Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
11,Italian Greyhound,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
12,Cattle Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
13,Border Collie,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
14,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
15,German Shepherd Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
16,Schnauzer,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
17,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
18,Boxer,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
19,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
20,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
21,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
22,Dachshund,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
