Rank,City ,Median Household Income,"Vet Care, Pet Insurance & Boarding_1",Day Care_1,"Vet Care, Pet Insurance & Boarding",Day Care
1,Winston-Salem ^North Carolina^,"$57,392 ","$1,533 ","$2,784 ",2.67%,4.85%
2,Greensboro ^North Carolina^,"$57,908 ","$1,546 ","$2,592 ",2.67%,4.48%
3,Bakersfield ^California^,"$58,217 ","$1,536 ","$2,688 ",2.64%,4.62%
4,El Paso ^Texas^,"$51,002 ","$1,323 ","$2,496 ",2.59%,4.89%
5,Memphis ^Tennessee^,"$55,840 ","$1,418 ","$2,688 ",2.54%,4.81%
6,New York ^New York^,"$84,409 ","$2,211 ","$3,648 ",2.62%,4.32%
7,New Orleans ^Louisiana^,"$56,837 ","$1,382 ","$2,880 ",2.43%,5.07%
8,North Las Vegas ^Nevada^,"$63,677 ","$1,514 ","$2,880 ",2.38%,4.52%
9,Tucson ^Arizona^,"$60,667 ","$1,439 ","$2,784 ",2.37%,4.59%
10,Las Vegas ^Nevada^,"$63,677 ","$1,508 ","$2,880 ",2.37%,4.52%
11,Fresno ^California^,"$63,656 ","$1,558 ","$2,688 ",2.45%,4.22%
12,St. Petersburg ^Florida^,"$62,951 ","$1,494 ","$2,784 ",2.37%,4.42%
13,Henderson ^Nevada^,"$63,677 ","$1,501 ","$2,880 ",2.36%,4.52%
14,Tulsa ^Oklahoma^,"$59,696 ","$1,404 ","$2,688 ",2.35%,4.50%
15,Miami ^Florida^,"$63,814 ","$1,492 ","$3,168 ",2.34%,4.96%
16,Albuquerque  ^New Mexico^,"$60,070 ","$1,381 ","$2,784 ",2.30%,4.63%
17,Durham ^North Carolina^,"$71,601 ","$1,681 ","$3,072 ",2.35%,4.29%
18,Cleveland ^Ohio^,"$62,315 ","$1,430 ","$2,688 ",2.29%,4.31%
19,Tampa ^Florida^,"$62,951 ","$1,425 ","$2,784 ",2.26%,4.42%
20,Corpus Christi ^Texas^,"$59,853 ","$1,368 ","$2,592 ",2.29%,4.33%
21,Wichita  ^Kansas^,"$61,131 ","$1,435 ","$2,400 ",2.35%,3.93%
22,Lexington ^Kentucky^,"$62,612 ","$1,413 ","$2,688 ",2.26%,4.29%
23,Pittsburgh ^Pennsylvania^,"$66,609 ","$1,508 ","$2,784 ",2.26%,4.18%
24,Spokane ^Washington^,"$65,283 ","$1,443 ","$2,880 ",2.21%,4.41%
25,Scottsdale ^Arizona^,"$75,731 ","$1,693 ","$3,264 ",2.24%,4.31%
26,Fort Wayne ^Indiana^,"$62,155 ","$1,345 ","$2,847 ",2.16%,4.58%
27,Orlando ^Florida^,"$64,936 ","$1,462 ","$2,688 ",2.25%,4.14%
28,Los Angeles ^California^,"$82,503 ","$1,791 ","$3,456 ",2.17%,4.19%
